id,long,lat
30VVL4,-3.430000,58.860000
30VWH1,-2.590000,56.620000
30VWH2,-2.600000,56.170000
30VWJ1,-2.580000,57.520000
30VWJ2,-2.590000,57.070000
30VWJ3,-1.750000,57.510000
30VWJ4,-1.760000,57.060000
30VWL1,-2.560000,59.310000
30VWL2,-2.570000,58.860000
30VWM3,-1.650000,60.200000
30VWM4,-1.670000,59.760000
30VWN4,-1.630000,60.650000
30VXM1,-0.750000,60.190000
30VXN2,-0.590000,60.640000
31SBC3,0.350000,38.590000
31SBD4,0.340000,39.040000
31SBE4,0.330000,39.940000
31SCC3,1.560000,38.610000
31SCD2,0.980000,39.060000
31SCD4,1.560000,39.070000
31SDD1,2.130000,39.520000
31SDD3,2.710000,39.520000
31SDD4,2.710000,39.070000
31SDE4,2.710000,39.970000
31SED1,3.290000,39.520000
31SED2,3.290000,39.070000
31SEE2,3.290000,39.970000
31SEE4,3.880000,39.970000
31SFE2,4.460000,39.970000
31TBE3,0.320000,40.390000
31TBF3,0.310000,41.290000
31TBF4,0.310000,40.840000
31TBG3,0.290000,42.200000
31TBG4,0.300000,41.740000
31TBH3,0.270000,43.100000
31TBH4,0.280000,42.650000
31TBJ3,0.250000,44.000000
31TBJ4,0.260000,43.550000
31TBK3,0.230000,44.890000
31TBK4,0.240000,44.450000
31TBL3,0.210000,45.790000
31TBL4,0.220000,45.340000
31TCF1,0.910000,41.310000
31TCF2,0.920000,40.860000
31TCF3,1.510000,41.320000
31TCG1,0.880000,42.210000
31TCG2,0.890000,41.760000
31TCG3,1.490000,42.220000
31TCG4,1.500000,41.770000
31TCH1,0.850000,43.110000
31TCH2,0.860000,42.660000
31TCH3,1.460000,43.120000
31TCH4,1.470000,42.670000
31TCJ1,0.820000,44.010000
31TCJ2,0.830000,43.560000
31TCJ3,1.440000,44.020000
31TCJ4,1.450000,43.570000
31TCK1,0.780000,44.910000
31TCK2,0.800000,44.460000
31TCK3,1.420000,44.920000
31TCK4,1.430000,44.470000
31TCL1,0.750000,45.810000
31TCL2,0.770000,45.360000
31TCL3,1.390000,45.820000
31TCL4,1.400000,45.370000
31TCM1,0.710000,46.710000
31TCM2,0.730000,46.260000
31TCM3,1.360000,46.720000
31TCM4,1.380000,46.270000
31TCN1,0.670000,47.600000
31TCN2,0.690000,47.160000
31TCN3,1.340000,47.620000
31TCN4,1.350000,47.170000
31TDF1,2.100000,41.320000
31TDG1,2.090000,42.220000
31TDG2,2.100000,41.770000
31TDG3,2.700000,42.230000
31TDG4,2.700000,41.780000
31TDH1,2.080000,43.120000
31TDH2,2.080000,42.670000
31TDH3,2.690000,43.130000
31TDH4,2.690000,42.680000
31TDJ1,2.060000,44.020000
31TDJ2,2.070000,43.570000
31TDJ3,2.690000,44.030000
31TDJ4,2.690000,43.580000
31TDK1,2.050000,44.920000
31TDK2,2.060000,44.470000
31TDK3,2.680000,44.930000
31TDK4,2.690000,44.480000
31TDL1,2.030000,45.820000
31TDL2,2.040000,45.370000
31TDL3,2.680000,45.830000
31TDL4,2.680000,45.380000
31TDM1,2.020000,46.720000
31TDM2,2.030000,46.270000
31TDM3,2.670000,46.730000
31TDM4,2.680000,46.280000
31TDN1,2.000000,47.620000
31TDN2,2.010000,47.170000
31TDN3,2.670000,47.630000
31TDN4,2.670000,47.180000
31TEG1,3.300000,42.230000
31TEG2,3.300000,41.780000
31TEH1,3.310000,43.130000
31TEJ1,3.310000,44.030000
31TEJ2,3.310000,43.580000
31TEJ3,3.940000,44.020000
